City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,itaberaba,-12.5275,-40.3069,18.11,96,1,0.48,BR,1689565780
122,longuenesse,50.734,2.2352,13.6,91,6,3.47,FR,1689565780
123,afaahiti,-17.75,-149.2833,26.7,57,1,1.81,PF,1689565780
124,lerwick,60.1545,-1.1494,12.0,90,100,7.2,GB,1689565781
125,hamilton,39.1834,-84.5333,22.82,92,75,3.6,US,1689565659
126,aras-asan,8.8908,126.3033,27.6,82,84,2.78,PH,1689565781
127,olyokminsk,60.3736,120.4264,27.39,33,49,5.31,RU,1689565781
128,abilene,32.4487,-99.7331,32.12,34,0,3.09,US,1689565496
129,amuntai,-2.4177,115.2494,24.95,80,100,0.44,ID,1689565781
130,tucurui,-3.7661,-49.6725,25.94,63,81,1.2,BR,1689565781
131,northam,51.0333,-4.2167,13.7,90,13,4.88,GB,1689565782
132,crane,31.3974,-102.3501,31.84,25,0,7.17,US,1689565782
133,bathsheba,13.2167,-59.5167,27.34,89,40,7.72,BB,1689565782
134,as salamiyah,35.0113,37.0532,26.47,37,0,2.8,SY,1689565782
135,mana,5.6592,-53.7767,25.16,91,16,4.17,GF,1689565782
136,benguela,-12.5763,13.4055,21.33,71,3,2.38,AO,1689565782
137,morehead city,34.7229,-76.726,28.34,90,0,4.12,US,1689565782
138,ponta delgada,37.7333,-25.6667,19.4,82,75,4.63,PT,1689565612
139,chirilagua,13.2203,-88.1386,25.89,65,100,1.02,SV,1689565783
140,atafu village,-8.5421,-172.5159,28.82,76,98,7.45,TK,1689565783
141,chibougamau,49.9168,-74.3659,18.79,94,0,1.54,CA,1689565726
142,bom jardim,-7.7958,-35.5872,18.69,96,7,1.3,BR,1689565783
143,kasongo-lunda,-6.4667,16.8167,20.43,46,0,1.28,CD,1689565783
144,rongelap,11.1635,166.8941,28.45,78,85,6.17,MH,1689565783
145,west island,-12.1568,96.8225,26.99,61,40,6.17,CC,1689565783
146,boise,43.6135,-116.2035,35.45,33,29,3.08,US,1689565746
147,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,68,75,6.0,RU,1689565784
148,antalaha,-14.9003,50.2788,20.84,90,63,3.05,MG,1689565784
149,ouahigouya,13.5828,-2.4216,28.66,60,93,2.4,BF,1689565784
150,khilok,51.3674,110.4676,29.59,35,71,2.0,RU,1689565784
151,halifax,44.6453,-63.5724,20.94,95,100,4.63,CA,1689565784
152,as sulayyil,20.4607,45.5779,29.14,11,98,2.55,SA,1689565784
153,portland,45.5234,-122.6762,26.97,49,0,5.14,US,1689565504
154,marka,1.7159,44.7717,24.97,81,80,7.21,SO,1689565785
155,ancud,-41.8697,-73.8203,2.04,87,25,3.12,CL,1689565785
156,cowansville,45.2001,-72.7491,22.27,95,100,1.03,CA,1689565785
157,zouerate,22.7187,-12.4521,24.83,52,3,6.16,MR,1689565785
158,puerto armuelles,8.2833,-82.8667,27.27,84,100,1.34,PA,1689565785
159,laguna,38.421,-121.4238,36.36,42,0,6.69,US,1689565786
160,san luis de la loma,17.2706,-100.8939,27.61,87,30,0.81,MX,1689565786
161,punta arenas,-53.15,-70.9167,4.06,75,75,8.23,CL,1689565593
162,nola,40.922,14.5329,28.13,79,0,0.98,IT,1689565786
163,enewetak,11.3474,162.3373,28.4,78,98,6.21,MH,1689565786
164,turtas,58.9417,69.1325,20.37,53,50,2.9,RU,1689565786
165,kodinsk,58.6881,99.1844,23.24,48,59,4.17,RU,1689565786
166,chonchi,-42.6128,-73.8092,1.73,92,7,1.02,CL,1689565788
167,anadyr,64.75,177.4833,26.28,34,0,6.0,RU,1689565788
168,tamanrasset,22.785,5.5228,24.95,27,9,2.06,DZ,1689565692
169,pinsk,52.1229,26.0951,19.79,90,29,2.21,BY,1689565788
170,sinabang,2.4803,96.3801,28.37,72,100,2.01,ID,1689565788
171,sandnessjoen,66.0217,12.6316,15.23,82,75,8.23,NO,1689565788
172,tsiombe,-25.3,45.4833,15.58,87,20,2.01,MG,1689565789
173,manali,13.1667,80.2667,32.05,70,100,5.08,IN,1689565789
174,black river,18.0264,-77.8487,26.78,82,40,1.35,JM,1689565789
175,mahdia,35.5047,11.0622,25.97,72,0,4.08,TN,1689565789
176,khash,28.2211,61.2158,31.41,9,3,2.29,IR,1689565789
177,whitby,54.4877,-0.615,12.95,87,42,0.89,GB,1689565733
178,gazojak,41.1875,61.4036,36.17,15,14,3.41,TM,1689565789
179,penzance,50.1186,-5.5371,13.38,83,33,6.94,GB,1689565790
180,uturoa,-16.7333,-151.4333,25.71,65,3,4.81,PF,1689565790
181,at taj,24.2049,23.2857,26.09,16,0,2.07,LY,1689565790
182,gelnhausen,50.2,9.1833,17.77,76,57,1.85,DE,1689565790
183,zorritos,-3.6805,-80.6782,26.16,78,93,2.19,PE,1689565790
184,talnakh,69.4865,88.3972,10.67,56,88,5.48,RU,1689565790
185,berezovyy,51.6667,135.7,27.22,47,69,3.16,RU,1689565790
186,tommot,58.9564,126.2925,23.53,50,34,4.0,RU,1689565791
187,hermanus,-34.4187,19.2345,9.89,79,100,3.25,ZA,1689565791
188,kolonia,50.9333,6.95,18.31,71,0,1.54,DE,1689565524
189,ust-nera,64.5667,143.2,17.06,39,100,2.86,RU,1689565791
190,ascension,30.2169,-90.9001,24.12,99,90,2.57,US,1689565791
191,whitehorse,60.7161,-135.0538,26.12,29,75,5.14,CA,1689565524
192,port alfred,-33.5906,26.891,16.21,50,36,2.98,ZA,1689565791
193,freetown,8.484,-13.2299,24.63,89,96,2.82,SL,1689565792
194,weno,7.4515,151.8468,26.97,89,100,1.54,FM,1689565792
195,porto novo,6.4965,2.6036,26.9,91,100,3.37,BJ,1689565792
196,tabas,33.5959,56.9244,35.45,14,0,1.5,IR,1689565792
197,baynjiwayn,35.6183,45.9541,28.36,17,0,1.62,IQ,1689565792
198,benjamin aceval,-24.9667,-57.5667,16.08,66,76,2.93,PY,1689565792
199,vorgashor,67.5833,63.95,17.0,83,100,5.66,RU,1689565792
200,wailua homesteads,22.0669,-159.378,27.24,84,75,8.75,US,1689565793
201,gordon,34.5004,-84.8666,24.94,96,47,0.0,US,1689565621
202,guaruja,-23.9931,-46.2564,19.38,26,8,0.47,BR,1689565662
203,kununurra,-15.7667,128.7333,30.99,27,7,5.66,AU,1689565793
204,tambopata,-12.7333,-69.1833,24.5,68,100,0.47,PE,1689565793
205,jiangyou,31.7667,104.7167,30.92,59,0,2.07,CN,1689565793
206,lower sackville,44.7733,-63.6885,20.45,96,75,4.63,CA,1689565793
207,morondava,-20.2833,44.2833,20.16,49,33,4.26,MG,1689565794
208,thunder bay,48.4001,-89.3168,11.99,94,75,2.06,CA,1689565748
209,luwuk,-0.9516,122.7875,29.06,63,95,3.4,ID,1689565794
210,vilyuchinsk,52.9306,158.4028,20.15,86,59,3.35,RU,1689565794
211,kone,-21.0595,164.8658,24.24,45,13,4.12,NC,1689565794
212,luanda,-8.8368,13.2343,21.0,88,75,1.03,AO,1689565794
213,astrakhan,46.3497,48.0408,19.95,64,0,5.0,RU,1689565720
214,kokoda,-8.8785,147.7407,31.54,50,47,0.91,PG,1689565795
215,odda,60.0691,6.5457,15.43,99,100,3.32,NO,1689565795
216,palestine,31.9216,35.2033,27.16,43,0,0.87,PS,1689565795
217,lompoc,34.6391,-120.4579,25.08,93,75,1.54,US,1689565795
218,guerrero negro,27.9769,-114.0611,20.5,83,13,5.24,MX,1689565795
219,fort st. john,56.2499,-120.8529,19.94,60,100,3.6,CA,1689565795
220,marsh harbour,26.5412,-77.0636,29.03,74,92,4.91,BS,1689565796
221,remire-montjoly,4.9167,-52.2667,23.02,100,20,0.0,GF,1689565796
222,smithers,54.7804,-127.1743,15.18,88,75,2.06,CA,1689565513
223,salavan,15.7167,106.4167,23.54,98,100,1.12,LA,1689565796
224,ibarreta,-25.2144,-59.8585,13.32,72,60,3.13,AR,1689565796
225,oromocto,45.8351,-66.4792,20.96,100,100,3.6,CA,1689565796
226,lulea,65.5842,22.1547,16.04,94,100,4.12,SE,1689565706
227,loango,-4.6719,11.8312,21.81,94,75,1.03,CG,1689565797
228,maua,-23.6678,-46.4614,18.16,65,28,0.89,BR,1689565797
229,segou,13.4317,-6.2157,26.52,74,100,3.05,ML,1689565797
230,ranikhet,29.65,79.4167,22.65,70,23,1.55,IN,1689565797
231,kalabo,-14.97,22.6814,8.7,65,1,2.5,ZM,1689565797
232,nuuk,64.1835,-51.7216,9.34,93,100,11.83,GL,1689565797
233,soro,21.2881,86.6858,31.04,67,100,1.56,IN,1689565798
234,george town,5.4112,100.3354,31.96,83,20,1.54,MY,1689565798
235,sisimiut,66.9395,-53.6735,7.5,97,100,1.87,GL,1689565798
236,palikir - national government center,6.9248,158.1611,27.47,78,100,5.14,FM,1689565798
237,khamis mushait,18.3064,42.7292,20.58,72,0,0.0,SA,1689565798
238,meridian,43.6121,-116.3915,35.62,34,0,0.0,US,1689565798
239,georgetown,5.4112,100.3354,31.96,83,20,1.54,MY,1689565693
240,mirny,62.5353,113.9611,20.92,46,100,4.64,RU,1689565799
241,kovel,51.2153,24.7087,20.76,85,8,2.05,UA,1689565799
242,sosnogorsk,63.6023,53.8817,22.16,46,15,2.15,RU,1689565799
243,grasberg,53.1833,8.9833,16.97,78,66,3.39,DE,1689565799
244,noumea,-22.2763,166.4572,22.78,99,93,6.64,NC,1689565799
245,horta,38.5333,-28.6333,17.79,84,22,3.13,PT,1689565799
246,tarawa,1.419,172.984,29.05,79,40,2.06,KI,1689565800
247,castillos,-34.1667,-53.8333,5.66,78,78,3.68,UY,1689565800
248,taghazout,30.5426,-9.7112,20.43,86,0,0.92,MA,1689565800
249,bezhetsk,57.7851,36.6965,16.99,77,0,1.62,RU,1689565800
250,jinchang,38.4953,102.1739,30.19,20,17,3.74,CN,1689565800
251,mount isa,-20.7333,139.5,26.87,29,40,4.63,AU,1689565801
252,tazacorte,28.629,-17.9293,22.54,75,75,8.23,ES,1689565801
253,haiku-pauwela,20.9219,-156.3051,28.01,59,40,8.75,US,1689565801
254,basco,20.4487,121.9702,29.52,79,98,5.15,PH,1689565801
255,carutapera,-1.195,-46.02,23.73,95,16,2.66,BR,1689565801
256,mareeba,-17.0,145.4333,24.69,60,54,3.49,AU,1689565801
257,puerto baquerizo moreno,-0.9,-89.6,24.99,85,53,5.51,EC,1689565802
258,bangui,4.3612,18.555,23.1,94,14,1.03,CF,1689565802
259,palmas,-10.2128,-48.3603,23.93,64,0,2.06,BR,1689565802
260,lihue,21.9789,-159.3672,27.58,80,75,8.75,US,1689565802
261,mejit,10.2753,170.8646,28.29,77,63,5.87,MH,1689565803
262,koungou,-12.7336,45.2042,25.84,73,75,7.72,YT,1689565803
263,floro,61.5996,5.0328,14.98,88,100,6.17,NO,1689565803
264,rabigh,22.7986,39.0349,30.19,74,18,2.39,SA,1689565803
265,zayed city,24.3768,54.589,35.56,49,0,3.6,AE,1689565804
266,north bend,43.4065,-124.2243,16.62,88,100,5.14,US,1689565804
267,lawas,13.764,121.0566,30.55,73,100,3.11,PH,1689565804
268,dori,14.0354,-0.0345,31.63,49,96,2.85,BF,1689565804
269,rawson,-43.3002,-65.1023,1.67,50,0,5.75,AR,1689565804
270,kenton,38.9501,-84.5333,22.33,81,75,3.6,US,1689565805
271,yemetsk,63.4721,41.7941,20.57,58,87,1.88,RU,1689565805
272,alo,7.4178,6.7371,23.61,98,100,1.22,NG,1689565805
273,greenville,35.6127,-77.3663,26.18,94,0,0.0,US,1689565505
274,pak phanang,8.3511,100.202,33.35,55,100,4.43,TH,1689565805
275,tralee,52.2704,-9.7026,11.25,93,76,3.53,IE,1689565806
276,am timan,11.0297,20.2827,23.25,78,100,1.18,TD,1689565806
277,aleksandrovsk,59.158,57.5624,21.56,55,9,2.86,RU,1689565806
278,benjamin constant,-4.3831,-70.0311,24.07,99,67,0.51,BR,1689565806
279,coutras,45.0333,-0.1333,16.03,76,87,1.41,FR,1689565806
280,port-vila,-17.7338,168.3219,24.78,69,75,9.26,VU,1689565807
281,port lincoln,-34.7333,135.8667,14.23,43,0,4.66,AU,1689565807
282,klaksvik,62.2266,-6.589,8.51,89,100,9.05,FO,1689565807
283,mount pearl,47.5166,-52.7813,19.69,95,100,5.14,CA,1689565579
284,tortoli,39.9256,9.6572,23.9,88,0,2.06,IT,1689565807
285,hotan,37.0997,79.9269,34.81,11,96,1.74,CN,1689565807
286,banda aceh,5.5577,95.3222,30.38,63,98,7.11,ID,1689565808
287,labrador city,52.9463,-66.9114,18.95,82,100,3.09,CA,1689565808
288,kosice,48.6667,21.3333,21.27,83,0,2.06,SK,1689565808
289,fort mcmurray,56.7268,-111.381,20.77,60,0,4.63,CA,1689565696
290,panchgani,17.9167,73.8167,17.72,95,100,2.66,IN,1689565808
291,lautoka,-17.6167,177.4667,25.92,69,75,1.03,FJ,1689565766
292,purranque,-40.9167,-73.1667,1.63,98,51,1.03,CL,1689565809
293,katsuren-haebaru,26.3369,127.8719,31.43,74,40,9.26,JP,1689565809
294,nuku'alofa,-21.1333,-175.2,24.19,64,20,5.66,TO,1689565809
295,ravar,31.2656,56.8055,33.25,11,0,1.01,IR,1689565810
296,fort bragg,35.139,-79.006,25.91,85,0,0.0,US,1689565810
297,bam,29.106,58.357,35.14,9,0,6.34,IR,1689565811
298,buala,-8.145,159.5921,27.94,79,76,1.12,SB,1689565811
299,polyarnyy,69.1989,33.4478,16.87,65,100,4.66,RU,1689565811
300,pangody,65.85,74.4859,17.12,64,99,7.41,RU,1689565811
301,kailua-kona,19.6406,-155.9956,27.98,81,100,4.12,US,1689565812
302,genhe,50.7833,121.5167,32.74,23,100,0.52,CN,1689565812
303,malanje,-9.5402,16.341,18.06,36,0,3.58,AO,1689565812
304,oakdale,44.963,-92.9649,18.65,57,0,4.63,US,1689565694
305,kargasok,59.0556,80.8572,19.98,54,51,2.77,RU,1689565812
306,qaqortoq,60.7167,-46.0333,6.81,92,94,0.95,GL,1689565813
307,prado,-17.3411,-39.2208,21.32,94,27,2.35,BR,1689565620
308,kharp,66.8014,65.8081,20.75,58,99,2.7,RU,1689565813
309,prainha,-1.8,-53.48,23.57,81,15,1.64,BR,1689565813
310,kushiro,42.975,144.3747,21.53,83,75,4.12,JP,1689565813
311,pundong,-7.9522,110.3486,27.51,63,78,6.84,ID,1689565814
312,papao,-17.75,-149.55,27.59,64,1,2.01,PF,1689565814
313,pisco,-13.7,-76.2167,18.03,77,75,1.54,PE,1689565814
314,lauro de freitas,-12.8944,-38.3272,27.01,74,40,3.6,BR,1689565705
315,valparaiso,-33.0393,-71.6273,9.8,81,0,1.54,CL,1689565524
316,hami,42.8,93.45,40.57,7,31,2.37,CN,1689565814
317,kristiansund,63.1115,7.732,16.03,82,100,1.03,NO,1689565815
318,hassi messaoud,31.6804,6.0729,32.92,9,0,4.12,DZ,1689565815
319,maraba,-5.3686,-49.1178,22.1,100,0,0.0,BR,1689565815
320,revda,56.801,59.9303,16.89,83,99,4.9,RU,1689565815
321,kuching,1.55,110.3333,33.34,65,20,4.12,MY,1689565815
322,jilin,43.0,126.0,21.76,85,99,3.73,CN,1689565815
323,loukhi,66.0764,33.0381,17.13,65,100,3.8,RU,1689565816
324,sitka,57.0531,-135.33,13.94,94,100,2.57,US,1689565816
325,al khaburah,23.9886,57.0984,35.39,55,21,2.99,OM,1689565816
326,rustaq,23.3908,57.4244,36.77,28,56,0.47,OM,1689565816
327,jeju city,33.5097,126.5219,27.96,89,100,2.06,KR,1689565816
328,zahedan,29.4963,60.8629,28.95,14,0,2.06,IR,1689565680
329,sao jose da coroa grande,-8.8978,-35.1478,23.74,83,15,3.09,BR,1689565817
330,beaufort west,-32.3567,22.583,12.47,48,77,3.65,ZA,1689565817
331,arraial do cabo,-22.9661,-42.0278,19.92,94,0,2.57,BR,1689565817
332,chui,-33.6971,-53.4616,5.01,84,63,3.51,UY,1689565817
333,namibe,-15.1961,12.1522,20.4,54,0,1.93,AO,1689565817
